k,silhouette
2,0.05359166863706686
3,0.05359166863706686
4,0.05359166863706686
5,0.05359166863706686
6,0.05359166863706686
7,0.05359166863706686
8,0.05359166863706686
9,0.05359166863706686
10,0.05359166863706686
11,0.05359166863706686
12,0.05359166863706686
13,0.05359166863706686
14,0.05359166863706686
15,0.05359166863706686
16,0.05359166863706686
17,0.05359166863706686
18,0.05359166863706686
19,0.05359166863706686
20,0.05359166863706686
21,0.05359166863706686
22,0.05359166863706686
23,0.05359166863706686
24,0.05359166863706686
25,0.05359166863706686
26,0.05359166863706686
27,0.05359166863706686
28,0.05359166863706686
29,0.05359166863706686
30,0.05359166863706686
